a_1|a|indefinite article|A1|used before countable or singular nouns referring to people or things that have not already been mentioned|/ə/|/ə/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a__/a__gb/a__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3|<li class="" htag="li"><span class="x">a man/horse/unit</span></li>;<li class="" htag="li"><span class="x">an aunt/egg/hour/X-ray</span></li>;<li class="" htag="li"><span class="x">I can only carry two at a time.</span></li>;<li class="" htag="li"><span class="x">There's a visitor for you.</span></li>;<li class="" htag="li"><span class="x">She's a friend of my father's <span class="gloss" hclass="gloss" htag="span">(= one of my father's friends)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/a_1
abandon_1|abandon|verb|B2|to leave somebody, especially somebody you are responsible for, with no intention of returning|/əˈbændən/|/əˈbændən/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody</span> <span class="x">The baby had been abandoned by its mother.</span></li>;<li class="" htag="li"><span class="x">People often simply abandon their pets when they go abroad.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody to something</span> <span class="x">‘We have been <span class="cl">abandoned to our fate</span>,’ said one resident.</span></li>;<li class="" htag="li"><span class="x">The study showed a deep fear among the elderly of being abandoned to the care of strangers.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1
ability_1|ability|noun|A2|the fact that somebody/something is able to do something|/əˈbɪləti/|/əˈbɪləti/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abi/abili/ability__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abi/abili/ability__us_4.mp3|<li class="" htag="li"><span class="x">People with the disease may <span class="cl">lose their ability</span> to communicate.</span></li>;<li class="" htag="li"><span class="x">This program <span class="cl">has the ability</span> to adapt to its user.</span></li>;<li class="" htag="li"><span class="x">Students must <span class="cl">demonstrate the ability</span> to understand simple texts.</span></li>;<li class="" htag="li"><span class="x">She has an <span class="cl">uncanny ability</span> to predict what consumers will want. </span></li>;<li class="" htag="li"><span class="x">A gentle form of exercise will increase your ability to relax.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/ability_1
able_1|able|adjective|A2|to have the skill, intelligence, opportunity, etc. needed to do something|/ˈeɪbl/|/ˈeɪbl/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3|<li class="" htag="li"><span class="x">You must be able to speak French for this job.</span></li>;<li class="" htag="li"><span class="x">A viral illness left her <span class="cl">barely able</span> to walk.</span></li>;<li class="" htag="li"><span class="x">We're still <span class="cl">able to get</span> visas to come and go from Thailand.</span></li>;<li class="" htag="li"><span class="x">I didn't feel able to disagree with him.</span></li>;<li class="" htag="li"><span class="x">Will you be able to come?</span></li>;<li class="" htag="li"><span class="x">Are you really <span class="cl">willing and able</span> to do what is necessary?</span></li>;<li class="" htag="li"><span class="x">They don't even seem <span class="cl">able to see</span> what's good about their ideas.</span></li>;<li class="" htag="li"><span class="x">These families are less able to afford a balanced, healthy diet.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/able_1
about_2|about|adverb|A1|a little more or less than; a little before or after|/əˈbaʊt/|/əˈbaʊt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3|<li class="" htag="li"><span class="x">It costs about $10.</span></li>;<li class="" htag="li"><span class="x">They waited (for) about an hour.</span></li>;<li class="" htag="li"><span class="x">He arrived (at) about ten.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/about_2
about_1|about|preposition|A1|on the subject of somebody/something; in connection with somebody/something|/əˈbaʊt/|/əˈbaʊt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3|<li class="" htag="li"><span class="x">a book about flowers</span></li>;<li class="" htag="li"><span class="x">Tell me <span class="cl">all about</span> it.</span></li>;<li class="" htag="li"><span class="x">What's she so angry about?</span></li>;<li class="" htag="li"><span class="x">There's something strange about him.</span></li>;<li class="" htag="li"><span class="x">There's something about this business that is not quite right.</span></li>;<li class="" htag="li"><span class="x">I don't know what you're <span class="cl">on about</span> <span class="gloss" hclass="gloss" htag="span">(= talking about)</span>.</span></li>;<li class="" htag="li"><span class="x">There's nothing you can do about it now.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/about_1
above_2|above|adverb|A1|at or to a higher place|/əˈbʌv/|/əˈbʌv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3|<li class="" htag="li"><span class="x">Put it on the shelf above.</span></li>;<li class="" htag="li"><span class="x">Seen from above the cars looked tiny.</span></li>;<li class="" htag="li"><span class="x">I could hear someone calling out my name from <span class="cl">up above</span>.</span></li>;<li class="" htag="li"><span class="x">They were acting on instructions from above <span class="gloss" hclass="gloss" htag="span">(= from somebody in a higher position of authority)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/above_2
above_1|above|preposition|A1|at or to a higher place or position than something/somebody|/əˈbʌv/|/əˈbʌv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3|<li class="" htag="li"><span class="x">The water came above our knees.</span></li>;<li class="" htag="li"><span class="x">We were flying above the clouds.</span></li>;<li class="" htag="li"><span class="x">the people in the apartment above mine</span></li>;<li class="" htag="li"><span class="x">A captain in the navy ranks above a captain in the army.</span></li>;<li class="" htag="li"><span class="x">They finished the year six places above their local rivals.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/above_1
abroad|abroad|adverb|A2|in or to a foreign country|/əˈbrɔːd/|/əˈbrɔːd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abr/abroa/abroad__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abr/abroa/abroad__us_4.mp3|<li class="" htag="li"><span class="x">to go/travel/live/study abroad </span></li>;<li class="" htag="li"><span class="x">She worked abroad for a year.</span></li>;<li class="" htag="li"><span class="x">imports of cheap food from abroad</span></li>;<li class="" htag="li"><span class="x">He was famous, both <span class="cl">at home and abroad</span> <span class="gloss" hclass="gloss" htag="span">(= in his own country and in other countries)</span>.</span></li>;<li class="" htag="li"><span class="x">For a holiday abroad you need a valid passport.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abroad
absolute_1|absolute|adjective|B2|total and complete|/ˈæbsəluːt/|/ˈæbsəluːt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolute__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolute__us_1_rr.mp3|<li class="" htag="li"><span class="x">I've joined a class for absolute beginners.</span></li>;<li class="" htag="li"><span class="x">absolute confidence/trust/silence/truth</span></li>;<li class="" htag="li"><span class="x">‘You're wrong,’ she said with <span class="cl">absolute certainty</span>.</span></li>;<li class="" htag="li"><span class="x">Clean water is an <span class="cl">absolute necessity</span>.</span></li>;<li class="" htag="li"><span class="x">Around them the darkness was absolute, the silence oppressive.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1
absolutely|absolutely|adverb|B1|used to emphasize that something is completely true|/ˈæbsəluːtli/|/ˈæbsəluːtli/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3|<li class="" htag="li"><span class="x">You're <span class="cl">absolutely right</span>.</span></li>;<li class="" htag="li"><span class="x">He made it <span class="cl">absolutely clear</span>.</span></li>;<li class="" htag="li"><span class="x">I'm not <span class="cl">absolutely certain</span> I posted it.</span></li>;<li class="" htag="li"><span class="x">Are you <span class="cl">absolutely sure</span>?</span></li>;<li class="" htag="li"><span class="x">Training is <span class="cl">absolutely essential</span> in this business.</span></li>;<li class="" htag="li"><span class="x">Don't delay for longer than <span class="cl">absolutely necessary</span>.</span></li>;<li class="" htag="li"><span class="x">The place was absolutely packed.</span></li>;<li class="" htag="li"><span class="x">It was absolutely pouring with rain.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absolutely
