?q=Headwords|headword|noun|D|a word that forms a heading in a dictionary, under which its meaning is explained|/ˈhedwɜːd/|/ˈhedwɜːrd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/headw/headword__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/h/hea/headw/headword__us_1.mp3||https://www.oxfordlearnersdictionaries.com/search/english/?q=Headwords
?q=abandon|abandon|verb|B2|to leave somebody, especially somebody you are responsible for, with no intention of returning|/əˈbændən/|/əˈbændən/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody</span> <span class="x">The baby had been abandoned by its mother.</span></li>;<li class="" htag="li"><span class="x">People often simply abandon their pets when they go abroad.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody to something</span> <span class="x">‘We have been <span class="cl">abandoned to our fate</span>,’ said one resident.</span></li>;<li class="" htag="li"><span class="x">The study showed a deep fear among the elderly of being abandoned to the care of strangers.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=abandon
?q=abstract|abstract|adjective|B2+|based on general ideas and not on any particular real person, thing or situation|/ˈæbstrækt/|/ˈæbstrækt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3|<li class="" htag="li"><span class="x"><span class="cl">abstract knowledge/principles</span></span></li>;<li class="" htag="li"><span class="x">The research shows that pre-school children are capable of thinking in abstract terms.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=abstract
?q=academy|academy|noun|C1|a school or college for special training|/əˈkædəmi/|/əˈkædəmi/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3|<li class="" htag="li"><span class="x">She trained at the Royal Academy of Music.</span></li>;<li class="" htag="li"><span class="x">a <span class="cl">police/military academy</span></span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=academy
?q=access|access|noun|B1|the opportunity or right to use something or to see somebody/something|/ˈækses/|/ˈækses/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3|<li class="" htag="li"><span class="x">High-speed <span class="cl">internet access</span> has become a necessity.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">access to something/somebody</span> <span class="x">You need a password to <span class="cl">get access</span> to the computer system.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">access to information/services/resources</span></span></li>;<li class="" htag="li"><span class="x"><span class="cl">access to healthcare/education</span></span></li>;<li class="" htag="li"><span class="x">They are seeking increased <span class="cl">access to markets</span> overseas.</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">provide/allow access</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">restrict/block access</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">Journalists were denied access to the President.</span></li>;<li class="" htag="li"><span class="x">Many divorced fathers only <span class="cl">have access</span> to their children at weekends <span class="gloss" hclass="gloss" htag="span">(= they are allowed by law to see them only at weekends)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=access
?q=accommodate|accommodate|verb|B2+|to provide somebody with a room or place to sleep, live or sit|/əˈkɒmədeɪt/|/əˈkɑːmədeɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3|<li class="" htag="li"><span class="x">The hotel can accommodate up to 500 guests.</span></li>;<li class="" htag="li"><span class="x">The aircraft is capable of accommodating 28 passengers.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accommodate
?q=accompany|accompany|verb|B2|to travel or go somewhere with somebody/something|/əˈkʌmpəni/|/əˈkʌmpəni/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accompany__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something + adv./prep.</span> <span class="x">His wife accompanied him on the trip.</span></li>;<li class="" htag="li"><span class="x">He was accompanied on the visit by his wife.</span></li>;<li class="" htag="li"><span class="x">I must ask you to accompany me to the police station.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something</span> <span class="x">Warships will accompany the convoy.</span></li>;<li class="" htag="li"><span class="x">The groups are always accompanied by an experienced mountain guide.</span></li>;<li class="" htag="li"><span class="x"> Each young person must be accompanied by an adult.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accompany
?q=accumulate|accumulate|verb|C1|to gradually get more and more of something over a period of time|/əˈkjuːmjəleɪt/|/əˈkjuːmjəleɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3|<li class="" htag="li"><span class="x">I seem to have accumulated a lot of books.</span></li>;<li class="" htag="li"><span class="x">By investing wisely she accumulated a fortune.</span></li>;<li class="" htag="li"><span class="x">We have accumulated a great amount of evidence.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accumulate
?q=accurate|accurate|adjective|B2|correct and true in every detail|/ˈækjərət/|/ˈækjərət/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3|<li class="" htag="li"><span class="x">an <span class="cl">accurate description/picture</span> of something</span></li>;<li class="" htag="li"><span class="x">Accurate measurements are essential.</span></li>;<li class="" htag="li"><span class="x">I'm not convinced the reports are accurate.</span></li>;<li class="" htag="li"><span class="x">The film is not <span class="cl">historically accurate</span>.</span></li>;<li class="" htag="li"><span class="x">an accurate prediction/estimate/assessment</span></li>;<li class="" htag="li"><span class="x">an accurate representation/portrayal</span></li>;<li class="" htag="li"><span class="x">scientifically accurate information/data</span></li>;<li class="" htag="li"><span class="x">reasonably/entirely/fairly accurate</span></li>;<li class="" htag="li"><span class="x">The cost is an accurate reflection of the quality of our products.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accurate
?q=achieve|achieve|verb|A2|to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time|/əˈtʃiːv/|/əˈtʃiːv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achieve__us_2.mp3|<li class="" htag="li"><span class="x">He had finally <span class="cl">achieved success</span>.</span></li>;<li class="" htag="li"><span class="x">They have both <span class="cl">achieved </span>great <span class="cl">results</span>. </span></li>;<li class="" htag="li"><span class="x">She has worked hard to <span class="cl">achieve her goal</span>.</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">achieve an objective/aim</span></span></li>;<li class="" htag="li"><span class="x">They could not achieve their target of less than 3% inflation.</span></li>;<li class="" htag="li"><span class="x">The firm has achieved the status of undisputed market leader.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">achieve something through (doing) something</span> <span class="x">Course objectives were achieved through a range of activities. </span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=achieve
