?q=a|a|indefinite article|A1|used before countable or singular nouns referring to people or things that have not already been mentioned|/ə/|/ə/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a__/a__gb/a__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3|<li class="" htag="li"><span class="x">a man/horse/unit</span></li>;<li class="" htag="li"><span class="x">an aunt/egg/hour/X-ray</span></li>;<li class="" htag="li"><span class="x">I can only carry two at a time.</span></li>;<li class="" htag="li"><span class="x">There's a visitor for you.</span></li>;<li class="" htag="li"><span class="x">She's a friend of my father's <span class="gloss" hclass="gloss" htag="span">(= one of my father's friends)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=a
?q=ability|ability|noun|A2|the fact that somebody/something is able to do something|/əˈbɪləti/|/əˈbɪləti/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abi/abili/ability__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abi/abili/ability__us_4.mp3|<li class="" htag="li"><span class="x">People with the disease may <span class="cl">lose their ability</span> to communicate.</span></li>;<li class="" htag="li"><span class="x">This program <span class="cl">has the ability</span> to adapt to its user.</span></li>;<li class="" htag="li"><span class="x">Students must <span class="cl">demonstrate the ability</span> to understand simple texts.</span></li>;<li class="" htag="li"><span class="x">She has an <span class="cl">uncanny ability</span> to predict what consumers will want. </span></li>;<li class="" htag="li"><span class="x">A gentle form of exercise will increase your ability to relax.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=ability
?q=able|able|adjective|A2|to have the skill, intelligence, opportunity, etc. needed to do something|/ˈeɪbl/|/ˈeɪbl/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3|<li class="" htag="li"><span class="x">You must be able to speak French for this job.</span></li>;<li class="" htag="li"><span class="x">A viral illness left her <span class="cl">barely able</span> to walk.</span></li>;<li class="" htag="li"><span class="x">We're still <span class="cl">able to get</span> visas to come and go from Thailand.</span></li>;<li class="" htag="li"><span class="x">I didn't feel able to disagree with him.</span></li>;<li class="" htag="li"><span class="x">Will you be able to come?</span></li>;<li class="" htag="li"><span class="x">Are you really <span class="cl">willing and able</span> to do what is necessary?</span></li>;<li class="" htag="li"><span class="x">They don't even seem <span class="cl">able to see</span> what's good about their ideas.</span></li>;<li class="" htag="li"><span class="x">These families are less able to afford a balanced, healthy diet.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=able
?q=about|about|preposition|A1|on the subject of somebody/something; in connection with somebody/something|/əˈbaʊt/|/əˈbaʊt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3|<li class="" htag="li"><span class="x">a book about flowers</span></li>;<li class="" htag="li"><span class="x">Tell me <span class="cl">all about</span> it.</span></li>;<li class="" htag="li"><span class="x">What's she so angry about?</span></li>;<li class="" htag="li"><span class="x">There's something strange about him.</span></li>;<li class="" htag="li"><span class="x">There's something about this business that is not quite right.</span></li>;<li class="" htag="li"><span class="x">I don't know what you're <span class="cl">on about</span> <span class="gloss" hclass="gloss" htag="span">(= talking about)</span>.</span></li>;<li class="" htag="li"><span class="x">There's nothing you can do about it now.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=about
?q=above|above|preposition|A1|at or to a higher place or position than something/somebody|/əˈbʌv/|/əˈbʌv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3|<li class="" htag="li"><span class="x">The water came above our knees.</span></li>;<li class="" htag="li"><span class="x">We were flying above the clouds.</span></li>;<li class="" htag="li"><span class="x">the people in the apartment above mine</span></li>;<li class="" htag="li"><span class="x">A captain in the navy ranks above a captain in the army.</span></li>;<li class="" htag="li"><span class="x">They finished the year six places above their local rivals.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=above
?q=accept|accept|verb|A2|to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.|/əkˈsept/|/əkˈsept/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/accept__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/accept__us_1.mp3|<li class="" htag="li"><span class="x">He asked me to marry him and I accepted.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accept something</span> <span class="x">Please accept our sincere apologies.</span></li>;<li class="" htag="li"><span class="x">It was pouring with rain so I <span class="cl">accepted his offer</span> of a lift.</span></li>;<li class="" htag="li"><span class="x">I am unfortunately unable to <span class="cl">accept your</span> kind <span class="cl">invitation</span>.</span></li>;<li class="" htag="li"><span class="x">The board of directors <span class="cl">accepted our proposal</span>.</span></li>;<li class="" htag="li"><span class="x">She's decided not to accept the job.</span></li>;<li class="" htag="li"><span class="x">Please accept this small token of my appreciation.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accept something from somebody</span> <span class="x">He is charged with accepting bribes from a firm of suppliers.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accept something for something</span> <span class="x">She said she'd accept $15 for it.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accept
?q=according|accord|verb|D|to give somebody/something authority, status or a particular type of treatment|/əˈkɔːd/|/əˈkɔːrd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accord__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accord__us_1.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accord something to somebody/something</span> <span class="x">Our society accords great importance to the family.</span></li>;<li class="" htag="li"><span class="x">There were complaints about the special treatment accorded to some minority groups.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accord somebody/something sth</span> <span class="x">Our society accords the family great importance.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=according
?q=account|account|noun|B1|an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.|/əˈkaʊnt/|/əˈkaʊnt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3|<li class="" htag="li"><span class="x">I don't have a <span class="cl">bank account</span>.</span></li>;<li class="" htag="li"><span class="x">I paid the money into my savings account.</span></li>;<li class="" htag="li"><span class="x">a joint account <span class="gloss" hclass="gloss" htag="span">(= one in the name of more than one person)</span></span></li>;<li class="" htag="li"><span class="x">With internet banking you can manage your account online.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">account with somebody/something</span> <span class="x">Do you have an account with us?</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">account at something</span> <span class="x">He <span class="cl">opened an account</span> at a bank in Germany.</span></li>;<li class="" htag="li"><span class="x">Interest will be paid monthly into the <span class="cl">account holder</span>'s current account.</span></li>;<li class="" htag="li"><span class="x">What's your account number please?</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=account
?q=across|across|preposition|A1|from one side to the other side of something|/əˈkrɒs/|/əˈkrɔːs/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acr/acros/across__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acr/acros/across__us_1.mp3|<li class="" htag="li"><span class="x">He walked across the field.</span></li>;<li class="" htag="li"><span class="x">I drew a line across the page.</span></li>;<li class="" htag="li"><span class="x">A grin spread across her face.</span></li>;<li class="" htag="li"><span class="x">Where's the nearest bridge across the river?</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=across
?q=act|act|verb|A2|to do something for a particular purpose or in order to deal with a situation|/ækt/|/ækt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/act__/act__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">act to do something</span> <span class="x">It is vital that we act to stop the destruction of the rainforests.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">+ adv./prep.</span> <span class="x">By <span class="cl">acting quickly </span>doctors saved her life.</span></li>;<li class="" htag="li"><span class="x">The government was criticized for failing to act decisively.</span></li>;<li class="" htag="li"><span class="x">Initial reports indicated he <span class="cl">acted alone</span>.</span></li>;<li class="" htag="li"><span class="x">He claims he <span class="cl">acted in self-defence</span>.</span></li>;<li class="" htag="li"><span class="x">We <span class="cl">acted in good faith</span> <span class="gloss" hclass="gloss" htag="span">(= believing that we were doing the right thing)</span>.</span></li>;<li class="" htag="li"><span class="x">They are acting out of self-interest.</span></li>;<li class="" htag="li"><span class="x">She was not acting for personal gain.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=act
?q=action|action|noun|A1|the process of doing something in order to make something happen or to deal with a situation|/ˈækʃn/|/ˈækʃn/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actio/action__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/actio/action__us_2.mp3|<li class="" htag="li"><span class="x">The time has come for action if these beautiful animals are to survive.</span></li>;<li class="" htag="li"><span class="x">to threaten/demand/call for action</span></li>;<li class="" htag="li"><span class="x">Firefighters <span class="cl">took action</span> immediately to stop the blaze spreading.</span></li>;<li class="" htag="li"><span class="x">Divers were close at hand, ready to <span class="cl">go into action</span> if the stunt went wrong.</span></li>;<li class="" htag="li"><span class="x">What is the best <span class="cl">course of action</span> in the circumstances?</span></li>;<li class="" htag="li"><span class="x">She began to explain her <span class="cl">plan of action</span> to the group.</span></li>;<li class="" htag="li"><span class="x">The men face <span class="cl">disciplinary action</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=action
