?q=Headwords|headword|noun|D|a word that forms a heading in a dictionary, under which its meaning is explained|/ˈhedwɜːd/|/ˈhedwɜːrd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/headw/headword__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/h/hea/headw/headword__us_1.mp3||https://www.oxfordlearnersdictionaries.com/search/english/?q=Headwords
?q=abandon|abandon|verb|B2|to leave somebody, especially somebody you are responsible for, with no intention of returning|/əˈbændən/|/əˈbændən/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3| abandon somebody The baby had been abandoned by its mother.;People often simply abandon their pets when they go abroad.; abandon somebody to something ‘We have been abandoned to our fate,’ said one resident.;The study showed a deep fear among the elderly of being abandoned to the care of strangers.|https://www.oxfordlearnersdictionaries.com/search/english/?q=abandon
?q=abstract|abstract|adjective|B2+|based on general ideas and not on any particular real person, thing or situation|/ˈæbstrækt/|/ˈæbstrækt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3|abstract knowledge/principles;The research shows that pre-school children are capable of thinking in abstract terms.|https://www.oxfordlearnersdictionaries.com/search/english/?q=abstract
?q=academy|academy|noun|C1|a school or college for special training|/əˈkædəmi/|/əˈkædəmi/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3|She trained at the Royal Academy of Music.;a police/military academy|https://www.oxfordlearnersdictionaries.com/search/english/?q=academy
?q=access|access|noun|B1|the opportunity or right to use something or to see somebody/something|/ˈækses/|/ˈækses/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3|High-speed internet access has become a necessity.; access to something/somebody You need a password to get access to the computer system.;access to information/services/resources;access to healthcare/education;They are seeking increased access to markets overseas.;to provide/allow access to something/somebody;to restrict/block access to something/somebody;Journalists were denied access to the President.;Many divorced fathers only have access to their children at weekends (= they are allowed by law to see them only at weekends).|https://www.oxfordlearnersdictionaries.com/search/english/?q=access
?q=accommodate|accommodate|verb|B2+|to provide somebody with a room or place to sleep, live or sit|/əˈkɒmədeɪt/|/əˈkɑːmədeɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3|The hotel can accommodate up to 500 guests.;The aircraft is capable of accommodating 28 passengers.|https://www.oxfordlearnersdictionaries.com/search/english/?q=accommodate
?q=accompany|accompany|verb|B2|to travel or go somewhere with somebody/something|/əˈkʌmpəni/|/əˈkʌmpəni/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accompany__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3| accompany somebody/something + adv./prep. His wife accompanied him on the trip.;He was accompanied on the visit by his wife.;I must ask you to accompany me to the police station.; accompany somebody/something Warships will accompany the convoy.;The groups are always accompanied by an experienced mountain guide.; Each young person must be accompanied by an adult.|https://www.oxfordlearnersdictionaries.com/search/english/?q=accompany
?q=accumulate|accumulate|verb|C1|to gradually get more and more of something over a period of time|/əˈkjuːmjəleɪt/|/əˈkjuːmjəleɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3|I seem to have accumulated a lot of books.;By investing wisely she accumulated a fortune.;We have accumulated a great amount of evidence.|https://www.oxfordlearnersdictionaries.com/search/english/?q=accumulate
?q=accurate|accurate|adjective|B2|correct and true in every detail|/ˈækjərət/|/ˈækjərət/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3|an accurate description/picture of something;Accurate measurements are essential.;I'm not convinced the reports are accurate.;The film is not historically accurate.;an accurate prediction/estimate/assessment;an accurate representation/portrayal;scientifically accurate information/data;reasonably/entirely/fairly accurate;The cost is an accurate reflection of the quality of our products.|https://www.oxfordlearnersdictionaries.com/search/english/?q=accurate
?q=achieve|achieve|verb|A2|to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time|/əˈtʃiːv/|/əˈtʃiːv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achieve__us_2.mp3|He had finally achieved success.;They have both achieved great results. ;She has worked hard to achieve her goal.;to achieve an objective/aim;They could not achieve their target of less than 3% inflation.;The firm has achieved the status of undisputed market leader.; achieve something through (doing) something Course objectives were achieved through a range of activities. |https://www.oxfordlearnersdictionaries.com/search/english/?q=achieve
